Rank,Layer,Head,certain,manipulated_1,manipulated_2,manipulated_3,increase_certain_to_manipulated_1,increase_manipulated_1_to_manipulated_2,increase_manipulated_2_to_manipulated_3,total_increase_certain_to_manipulated_3,trend_slope_per_step,monotonic_increase
104,14,Head_0,0.0,0.1071,0.1678,0.2349,0.1071,0.060700000000000004,0.06709999999999999,0.2349,0.0783,True
105,30,Head_2,0.0,0.124,0.1757,0.2343,0.124,0.051699999999999996,0.05860000000000001,0.2343,0.0781,True
106,17,Head_28,0.0,0.1309,0.184,0.2339,0.1309,0.05310000000000001,0.0499,0.2339,0.07796666666666667,True
107,10,Head_24,0.0,0.1016,0.161,0.2319,0.1016,0.05940000000000001,0.07089999999999999,0.2319,0.0773,True
108,28,Head_23,0.0,0.1151,0.1727,0.2316,0.1151,0.0576,0.05890000000000001,0.2316,0.0772,True
109,10,Head_22,0.0,0.1042,0.161,0.2296,0.1042,0.0568,0.0686,0.2296,0.07653333333333333,True
110,10,Head_18,0.0,0.1172,0.165,0.2292,0.1172,0.04780000000000001,0.06419999999999998,0.2292,0.0764,True
111,18,Head_20,0.0,0.115,0.1752,0.2286,0.115,0.06019999999999999,0.0534,0.2286,0.0762,True
112,31,Head_1,0.0,0.1106,0.1627,0.2281,0.1106,0.05210000000000001,0.06539999999999999,0.2281,0.07603333333333333,True
113,12,Head_10,0.0,0.1132,0.1685,0.2269,0.1132,0.055300000000000016,0.05839999999999998,0.2269,0.07563333333333333,True
114,14,Head_8,0.0,0.1115,0.167,0.2242,0.1115,0.05550000000000001,0.0572,0.2242,0.07473333333333333,True
115,28,Head_16,0.0,0.1738,0.2119,0.2235,0.1738,0.038099999999999995,0.0116,0.2235,0.0745,True
116,31,Head_12,0.0,0.0992,0.1588,0.223,0.0992,0.0596,0.06420000000000001,0.223,0.07433333333333333,True
117,7,Head_10,0.0,0.1033,0.1595,0.2227,0.1033,0.0562,0.0632,0.2227,0.07423333333333333,True
118,26,Head_1,0.0,0.1006,0.1556,0.2227,0.1006,0.05499999999999999,0.06710000000000002,0.2227,0.07423333333333333,True
119,22,Head_19,0.0,0.1157,0.1659,0.2223,0.1157,0.050199999999999995,0.056400000000000006,0.2223,0.0741,True
120,13,Head_17,0.0,0.1085,0.1627,0.2191,0.1085,0.05420000000000001,0.05639999999999998,0.2191,0.07303333333333333,True
121,14,Head_11,0.0,0.1078,0.1608,0.2191,0.1078,0.05299999999999999,0.05829999999999999,0.2191,0.07303333333333333,True
122,19,Head_20,0.0,0.0917,0.1476,0.2189,0.0917,0.055900000000000005,0.0713,0.2189,0.07296666666666667,True
123,30,Head_9,0.0,0.1225,0.1678,0.2179,0.1225,0.04530000000000001,0.050100000000000006,0.2179,0.07263333333333334,True
124,11,Head_26,0.0,0.1057,0.1649,0.2177,0.1057,0.05919999999999999,0.052800000000000014,0.2177,0.07256666666666667,True
125,26,Head_21,0.0,0.1136,0.1627,0.2177,0.1136,0.049100000000000005,0.05499999999999999,0.2177,0.07256666666666667,True
126,13,Head_9,0.0,0.115,0.1641,0.2173,0.115,0.04909999999999999,0.0532,0.2173,0.07243333333333334,True
127,27,Head_28,0.0,0.1425,0.1642,0.2164,0.1425,0.021700000000000025,0.052199999999999996,0.2164,0.07213333333333334,True
128,27,Head_16,0.0,0.11,0.1597,0.2152,0.11,0.04970000000000001,0.055499999999999994,0.2152,0.07173333333333333,True
129,15,Head_24,0.0,0.1018,0.1539,0.2125,0.1018,0.05210000000000001,0.058599999999999985,0.2125,0.07083333333333333,True
130,28,Head_21,0.0,0.095,0.1483,0.2125,0.095,0.053299999999999986,0.06420000000000001,0.2125,0.07083333333333333,True
131,8,Head_25,0.0,0.0995,0.1575,0.2122,0.0995,0.057999999999999996,0.0547,0.2122,0.07073333333333333,True
132,12,Head_9,0.0,0.113,0.1638,0.212,0.113,0.0508,0.04819999999999999,0.212,0.07066666666666667,True
133,9,Head_3,0.0,0.1036,0.1532,0.2109,0.1036,0.049600000000000005,0.0577,0.2109,0.0703,True
134,16,Head_27,0.0,0.1043,0.1564,0.2104,0.1043,0.05210000000000001,0.05399999999999999,0.2104,0.07013333333333334,True
135,14,Head_13,0.0,0.1136,0.1582,0.2094,0.1136,0.0446,0.051199999999999996,0.2094,0.0698,True
136,13,Head_10,0.0,0.1002,0.1526,0.2079,0.1002,0.052400000000000016,0.05529999999999999,0.2079,0.0693,True
137,21,Head_10,0.0,0.0888,0.1376,0.2079,0.0888,0.048799999999999996,0.0703,0.2079,0.0693,True
138,14,Head_7,0.0,0.1015,0.1523,0.2059,0.1015,0.050799999999999984,0.05360000000000001,0.2059,0.06863333333333334,True
139,16,Head_28,0.0,0.0894,0.1464,0.2052,0.0894,0.05700000000000001,0.05879999999999999,0.2052,0.0684,True
140,17,Head_6,0.0,0.0933,0.1425,0.205,0.0933,0.049199999999999994,0.0625,0.205,0.06833333333333333,True
141,10,Head_20,0.0,0.145,0.1974,0.2046,0.145,0.0524,0.007200000000000012,0.2046,0.0682,True
142,13,Head_21,0.0,0.1003,0.1495,0.2042,0.1003,0.049199999999999994,0.0547,0.2042,0.06806666666666666,True
143,22,Head_14,0.0,0.0872,0.1466,0.2039,0.0872,0.05940000000000001,0.05729999999999999,0.2039,0.06796666666666666,True
144,11,Head_5,0.0,0.0931,0.1531,0.2031,0.0931,0.06000000000000001,0.04999999999999999,0.2031,0.0677,True
145,25,Head_18,0.0,0.1011,0.1521,0.2031,0.1011,0.05100000000000002,0.05099999999999999,0.2031,0.0677,True
146,29,Head_9,0.0,0.103,0.1578,0.2031,0.103,0.0548,0.04530000000000001,0.2031,0.0677,True
147,12,Head_26,0.0,0.097,0.1455,0.203,0.097,0.04849999999999999,0.05750000000000002,0.203,0.06766666666666667,True
148,11,Head_27,0.0,0.1016,0.1521,0.2028,0.1016,0.05050000000000002,0.050699999999999995,0.2028,0.06760000000000001,True
149,17,Head_31,0.0,0.1122,0.1528,0.2024,0.1122,0.0406,0.049600000000000005,0.2024,0.06746666666666666,True
150,9,Head_13,0.0,0.1026,0.1569,0.2023,0.1026,0.054300000000000015,0.045399999999999996,0.2023,0.06743333333333333,True
151,7,Head_23,0.0,0.0837,0.1401,0.202,0.0837,0.056400000000000006,0.06190000000000001,0.202,0.06733333333333334,True
152,16,Head_6,0.0,0.0948,0.1447,0.2019,0.0948,0.0499,0.0572,0.2019,0.0673,True
153,6,Head_4,0.0,0.1162,0.1493,0.2015,0.1162,0.03309999999999999,0.052200000000000024,0.2015,0.06716666666666667,True
154,13,Head_20,0.0,0.0803,0.1327,0.2012,0.0803,0.052400000000000016,0.06849999999999998,0.2012,0.06706666666666666,True
155,17,Head_5,0.0,0.0955,0.1427,0.2008,0.0955,0.04719999999999999,0.05810000000000001,0.2008,0.06693333333333333,True
156,30,Head_6,0.0,0.1069,0.1608,0.2001,0.1069,0.0539,0.0393,0.2001,0.0667,True
157,13,Head_6,0.0,0.1071,0.151,0.1984,0.1071,0.043899999999999995,0.0474,0.1984,0.06613333333333334,True
158,13,Head_30,0.0,0.0944,0.1442,0.1984,0.0944,0.0498,0.0542,0.1984,0.06613333333333334,True
159,29,Head_21,0.0,0.0964,0.1451,0.198,0.0964,0.04870000000000001,0.0529,0.198,0.066,True
160,14,Head_26,0.0,0.1011,0.1467,0.1974,0.1011,0.0456,0.050699999999999995,0.1974,0.0658,True
161,30,Head_0,0.0,0.0971,0.1375,0.1957,0.0971,0.040400000000000005,0.0582,0.1957,0.06523333333333334,True
162,11,Head_25,0.0,0.0958,0.1465,0.1953,0.0958,0.050699999999999995,0.04880000000000001,0.1953,0.0651,True
163,12,Head_25,0.0,0.0962,0.144,0.1953,0.0962,0.047799999999999995,0.05130000000000001,0.1953,0.0651,True
164,13,Head_22,0.0,0.0947,0.1483,0.1925,0.0947,0.05359999999999998,0.04420000000000002,0.1925,0.06416666666666666,True
