Example,Label,PC1,PC2
341,not_enough_info,-0.08414845,-0.69772935
342,not_enough_info,-0.16359147,-0.65244323
343,not_enough_info,0.1347148,-0.5805892
344,not_enough_info,0.94705105,-0.20830129
345,not_enough_info,0.8048066,-0.29300222
346,not_enough_info,0.7410963,-0.117262155
347,not_enough_info,0.71198505,-0.15198556
348,not_enough_info,0.8719172,-0.41717428
349,not_enough_info,-0.30743894,0.017270954
350,not_enough_info,-0.052548274,0.34476343
351,not_enough_info,0.76713663,0.13300356
352,not_enough_info,0.7526756,0.08857135
353,not_enough_info,0.7624724,0.1676165
354,not_enough_info,0.8041019,0.26527223
355,not_enough_info,0.6464539,0.4226405
356,not_enough_info,0.67590654,0.45421878
357,not_enough_info,0.76070285,0.3911896
358,not_enough_info,0.6901981,0.083609074
359,not_enough_info,0.088794954,-0.17453712
360,not_enough_info,0.112336874,-0.098678954
361,not_enough_info,0.27659455,0.09545784
362,not_enough_info,-0.048113752,0.045406032
363,not_enough_info,-0.2524522,0.2882344
364,not_enough_info,0.6534495,0.0842639
365,not_enough_info,0.74316967,0.41312015
366,not_enough_info,0.716325,0.54601824
367,not_enough_info,0.709114,0.5462053
368,not_enough_info,-0.53916246,0.047363024
369,not_enough_info,0.7424567,0.48053753
370,not_enough_info,-0.14571954,-0.042347137
371,not_enough_info,0.13465098,-0.26426625
372,not_enough_info,0.68176085,0.28327626
373,not_enough_info,0.7208225,0.32903695
374,not_enough_info,0.5765445,0.42483076
375,not_enough_info,0.74568653,0.28110543
376,not_enough_info,0.05305045,-0.82917786
377,not_enough_info,0.15952192,-0.9055979
378,not_enough_info,0.45690718,-1.0551212
379,not_enough_info,0.9715298,-0.8062841
380,not_enough_info,-0.01620978,0.13992004
381,not_enough_info,0.56827956,0.32939833
382,not_enough_info,-0.2459399,0.15284066
383,not_enough_info,0.7975904,0.4420769
384,not_enough_info,-0.29622355,0.225457
385,not_enough_info,-0.23157218,0.2986645
386,not_enough_info,-0.043382853,0.03514414
387,not_enough_info,-0.28972095,-0.03289529
388,not_enough_info,-0.5014646,-0.095560454
389,not_enough_info,-0.33197182,-0.11111496
390,not_enough_info,-0.5675794,0.2647974
391,not_enough_info,-0.6680842,0.2893348
392,not_enough_info,-0.32789952,0.4334317
393,not_enough_info,-0.028690627,-0.4118287
394,not_enough_info,-0.54464424,0.53388757
395,not_enough_info,-0.55736595,0.5268973
396,not_enough_info,0.50072944,0.7847973
